asset_classes,products,maturity_buckets,business_units,pd_bucket,legal_entities,transaction_id,exposure,RWA,reporting_date
Securities firms,Other investments,>1y,Wholesale Banking,0.25 to < 0.50,iBank CIB,transaction_265063,221.1311259361985,41.33298541951651,2020-05-31
Corporates,Loans,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,0.50 to < 0.75,iBank Finance Ltd,transaction_899871,748.2862430135182,250.39597004143644,2020-05-31
Regulatory retail portfolios,Debt securities,2 years ≤ residual maturity < 5 years,Personal Banking,0.75 to < 2.50,iBank filial,transaction_306383,589.624007628884,110.24514385626848,2020-05-31
Sovereigns and their central banks,Other investments,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank CIB,transaction_458902,206.84834685156918,119.00078195786031,2020-05-31
Non-central government public sector entities,Loans,> 10 years,Wholesale Banking,10.00 to < 100,iBank Finance Ltd,transaction_491437,532.8144037434191,208.84090878848946,2020-05-31
Multilateral development banks,Debt securities,>1y,Asset & Wealth Management,100 default,iBank filial,transaction_379892,142.3259575015038,80.81812800810005,2020-05-31
Banks,Other investments,1 year ≤ residual maturity < 2 years,Personal Banking,0.00 to < 0.15,iBank CIB,transaction_956895,579.7516742004892,102.61408812545207,2020-05-31
Securities firms,Loans,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,0.15 to < 0.25,iBank Finance Ltd,transaction_432705,108.04989497000055,119.19810201099497,2020-05-31
Corporates,Debt securities,5 years ≤ residual maturity < 10 years,Wholesale Banking,0.25 to < 0.50,iBank filial,transaction_294368,240.12374062513814,39.807323465219056,2020-05-31
Regulatory retail portfolios,Other investments,> 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank CIB,transaction_890722,267.74100266041,117.65412338648858,2020-05-31
Sovereigns and their central banks,Loans,>1y,Personal Banking,0.75 to < 2.50,iBank Finance Ltd,transaction_589062,34.55249458853935,10.333631044882189,2020-05-31
Non-central government public sector entities,Debt securities,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,2.50 to < 10.00,iBank filial,transaction_089358,227.17128788455497,77.49669204425922,2020-05-31
Multilateral development banks,Other investments,2 years ≤ residual maturity < 5 years,Wholesale Banking,10.00 to < 100,iBank CIB,transaction_344059,189.9151082573405,62.92338550632765,2020-05-31
Banks,Loans,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,100 default,iBank Finance Ltd,transaction_740907,1030.0262539554797,161.16012783174406,2020-05-31
Securities firms,Debt securities,> 10 years,Personal Banking,0.00 to < 0.15,iBank filial,transaction_459940,440.3211842318022,139.21673365420543,2020-05-31
Corporates,Other investments,>1y,Commercial & Business Banking,0.15 to < 0.25,iBank CIB,transaction_578724,315.7126626276595,123.34869429497456,2020-05-31
Regulatory retail portfolios,Loans,1 year ≤ residual maturity < 2 years,Wholesale Banking,0.25 to < 0.50,iBank Finance Ltd,transaction_801276,158.01576754210348,41.218280978597896,2020-05-31
Sovereigns and their central banks,Debt securities,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,0.50 to < 0.75,iBank filial,transaction_546015,647.9664190809762,125.8442733000206,2020-05-31
Non-central government public sector entities,Other investments,5 years ≤ residual maturity < 10 years,Personal Banking,0.75 to < 2.50,iBank CIB,transaction_415395,117.30799694058814,40.51046582454157,2020-05-31
Multilateral development banks,Loans,> 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank Finance Ltd,transaction_126701,607.3822757935606,196.09717924475973,2020-05-31
Banks,Debt securities,>1y,Wholesale Banking,10.00 to < 100,iBank filial,transaction_267788,0.2546624941687107,0.0605516970234354,2020-05-31
Securities firms,Other investments,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,100 default,iBank CIB,transaction_675104,871.444658150802,165.6646977077079,2020-05-31
Corporates,Loans,2 years ≤ residual maturity < 5 years,Personal Banking,0.00 to < 0.15,iBank Finance Ltd,transaction_080777,719.5346612852935,148.64699266820637,2020-05-31
Regulatory retail portfolios,Debt securities,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank filial,transaction_932552,594.4689603423116,155.3894532507189,2020-05-31
Sovereigns and their central banks,Other investments,> 10 years,Wholesale Banking,0.25 to < 0.50,iBank CIB,transaction_816366,461.1165895270781,229.64416719506127,2020-05-31
Non-central government public sector entities,Loans,>1y,Asset & Wealth Management,0.50 to < 0.75,iBank Finance Ltd,transaction_795674,1278.11603330391,354.39386582250336,2020-05-31
Multilateral development banks,Debt securities,1 year ≤ residual maturity < 2 years,Personal Banking,0.75 to < 2.50,iBank filial,transaction_936603,1148.113203682497,232.53562352703486,2020-05-31
Banks,Other investments,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,2.50 to < 10.00,iBank CIB,transaction_125919,406.0617677225751,286.3607293665777,2020-05-31
Securities firms,Loans,5 years ≤ residual maturity < 10 years,Wholesale Banking,10.00 to < 100,iBank Finance Ltd,transaction_086347,566.4700574069315,564.8750163200494,2020-05-31
Corporates,Debt securities,> 10 years,Asset & Wealth Management,100 default,iBank filial,transaction_244144,667.2741736614397,328.84820692549,2020-05-31
Regulatory retail portfolios,Other investments,>1y,Personal Banking,0.00 to < 0.15,iBank CIB,transaction_059051,10.627476806578114,1.6429349029234686,2020-05-31
Sovereigns and their central banks,Loans,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,0.15 to < 0.25,iBank Finance Ltd,transaction_645661,984.2582095280643,238.67821024845762,2020-05-31
Non-central government public sector entities,Debt securities,2 years ≤ residual maturity < 5 years,Wholesale Banking,0.25 to < 0.50,iBank filial,transaction_278993,421.7652946174352,370.43252552803244,2020-05-31
Multilateral development banks,Other investments,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank CIB,transaction_060976,356.91853434074585,51.09941855856564,2020-05-31
Banks,Loans,> 10 years,Personal Banking,0.75 to < 2.50,iBank Finance Ltd,transaction_780373,849.1845717867529,445.87484425504385,2020-05-31
Securities firms,Debt securities,>1y,Commercial & Business Banking,2.50 to < 10.00,iBank filial,transaction_495890,525.966460349301,309.62959728142175,2020-05-31
Corporates,Other investments,1 year ≤ residual maturity < 2 years,Wholesale Banking,10.00 to < 100,iBank CIB,transaction_300337,853.6065473317659,613.04266067076,2020-05-31
Regulatory retail portfolios,Loans,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,100 default,iBank Finance Ltd,transaction_213366,19.888951879621338,9.50174358740708,2020-05-31
Sovereigns and their central banks,Debt securities,5 years ≤ residual maturity < 10 years,Personal Banking,0.00 to < 0.15,iBank filial,transaction_055424,280.1306587160054,129.66924097253246,2020-05-31
Non-central government public sector entities,Other investments,> 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank CIB,transaction_718067,518.1170005963284,89.10588214798324,2020-05-31
Multilateral development banks,Loans,>1y,Wholesale Banking,0.25 to < 0.50,iBank Finance Ltd,transaction_301585,859.0869134152009,265.1135135409587,2020-05-31
Banks,Debt securities,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,0.50 to < 0.75,iBank filial,transaction_517405,444.2251922345073,203.21240128264859,2020-05-31
Securities firms,Other investments,2 years ≤ residual maturity < 5 years,Personal Banking,0.75 to < 2.50,iBank CIB,transaction_127084,1330.6090930687808,404.83405879993245,2020-05-31
Corporates,Loans,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank Finance Ltd,transaction_731661,661.2309705392767,167.03209640318892,2020-05-31
Regulatory retail portfolios,Debt securities,> 10 years,Wholesale Banking,10.00 to < 100,iBank filial,transaction_379185,526.5258652378419,130.51786932248586,2020-05-31
Sovereigns and their central banks,Other investments,>1y,Asset & Wealth Management,100 default,iBank CIB,transaction_868524,245.6478400417421,59.43136369703628,2020-05-31
Non-central government public sector entities,Loans,1 year ≤ residual maturity < 2 years,Personal Banking,0.00 to < 0.15,iBank Finance Ltd,transaction_877013,792.0869963664682,450.4038792450312,2020-05-31
Multilateral development banks,Debt securities,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,0.15 to < 0.25,iBank filial,transaction_348840,743.0955186905754,207.4167889979635,2020-05-31
Banks,Other investments,5 years ≤ residual maturity < 10 years,Wholesale Banking,0.25 to < 0.50,iBank CIB,transaction_669784,638.9422743898524,292.15619983749946,2020-05-31
Securities firms,Loans,> 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank Finance Ltd,transaction_208424,586.2960088787019,129.02257771941433,2020-05-31
Corporates,Debt securities,>1y,Personal Banking,0.75 to < 2.50,iBank filial,transaction_188947,637.2016611888947,163.9276843866398,2020-05-31
Regulatory retail portfolios,Other investments,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,2.50 to < 10.00,iBank CIB,transaction_134860,306.22532489429864,150.31497920477366,2020-05-31
Sovereigns and their central banks,Loans,2 years ≤ residual maturity < 5 years,Wholesale Banking,10.00 to < 100,iBank Finance Ltd,transaction_942632,631.9424210954828,235.71998374112093,2020-05-31
Non-central government public sector entities,Debt securities,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,100 default,iBank filial,transaction_560304,456.6814672759532,272.9670776518573,2020-05-31
Multilateral development banks,Other investments,> 10 years,Personal Banking,0.00 to < 0.15,iBank CIB,transaction_802909,333.4800526322489,63.97920064835542,2020-05-31
Banks,Loans,>1y,Commercial & Business Banking,0.15 to < 0.25,iBank Finance Ltd,transaction_022943,1188.2966460729526,275.09652767668973,2020-05-31
Securities firms,Debt securities,1 year ≤ residual maturity < 2 years,Wholesale Banking,0.25 to < 0.50,iBank filial,transaction_420521,402.4699401330039,124.74063763186417,2020-05-31
Corporates,Other investments,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,0.50 to < 0.75,iBank CIB,transaction_593277,563.8210409325467,211.40259730393012,2020-05-31
Regulatory retail portfolios,Loans,5 years ≤ residual maturity < 10 years,Personal Banking,0.75 to < 2.50,iBank Finance Ltd,transaction_223850,320.21859321990684,122.16062968922454,2020-05-31
Sovereigns and their central banks,Debt securities,> 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank filial,transaction_882787,295.0989902570524,117.94034536174168,2020-05-31
Non-central government public sector entities,Other investments,>1y,Wholesale Banking,10.00 to < 100,iBank CIB,transaction_592508,420.35193954808466,85.623315463298,2020-05-31
Multilateral development banks,Loans,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,100 default,iBank Finance Ltd,transaction_082750,238.05201962286247,123.10104394342193,2020-05-31
Banks,Debt securities,2 years ≤ residual maturity < 5 years,Personal Banking,0.00 to < 0.15,iBank filial,transaction_070011,378.39999465700424,124.54258662431023,2020-05-31
Securities firms,Other investments,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank CIB,transaction_226941,806.0099362389111,170.25917288158064,2020-05-31
Corporates,Loans,> 10 years,Wholesale Banking,0.25 to < 0.50,iBank Finance Ltd,transaction_962589,409.8356891859865,197.21385183352095,2020-05-31
Regulatory retail portfolios,Debt securities,>1y,Asset & Wealth Management,0.50 to < 0.75,iBank filial,transaction_499109,616.2041602434796,336.07668585022657,2020-05-31
Sovereigns and their central banks,Other investments,1 year ≤ residual maturity < 2 years,Personal Banking,0.75 to < 2.50,iBank CIB,transaction_929396,17.360936689286635,8.657946770498121,2020-05-31
Non-central government public sector entities,Loans,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,2.50 to < 10.00,iBank Finance Ltd,transaction_196827,395.88351694689123,111.95483558351893,2020-05-31
Multilateral development banks,Debt securities,5 years ≤ residual maturity < 10 years,Wholesale Banking,10.00 to < 100,iBank filial,transaction_141291,836.9420527307739,142.30271708307413,2020-05-31
Banks,Other investments,> 10 years,Asset & Wealth Management,100 default,iBank CIB,transaction_666730,64.85351476467211,48.048807186275035,2020-05-31
Securities firms,Loans,>1y,Personal Banking,0.00 to < 0.15,iBank Finance Ltd,transaction_375443,216.81853374908886,103.70360175959974,2020-05-31
Corporates,Debt securities,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,0.15 to < 0.25,iBank filial,transaction_165862,250.69740660004317,91.76733006771597,2020-05-31
Regulatory retail portfolios,Other investments,2 years ≤ residual maturity < 5 years,Wholesale Banking,0.25 to < 0.50,iBank CIB,transaction_619535,540.8903092893387,133.42130642558263,2020-05-31
Sovereigns and their central banks,Loans,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank Finance Ltd,transaction_622501,423.318161711491,89.66093550643501,2020-05-31
Non-central government public sector entities,Debt securities,> 10 years,Personal Banking,0.75 to < 2.50,iBank filial,transaction_317655,1145.2429122764581,464.31896449587686,2020-05-31
Multilateral development banks,Other investments,>1y,Commercial & Business Banking,2.50 to < 10.00,iBank CIB,transaction_646348,510.3307465870681,173.8205154111583,2020-05-31
Banks,Loans,1 year ≤ residual maturity < 2 years,Wholesale Banking,10.00 to < 100,iBank Finance Ltd,transaction_979380,788.1145249767749,344.40262013067706,2020-05-31
Securities firms,Debt securities,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,100 default,iBank filial,transaction_051163,942.3946678217188,230.24347771162067,2020-05-31
Corporates,Other investments,5 years ≤ residual maturity < 10 years,Personal Banking,0.00 to < 0.15,iBank CIB,transaction_729220,194.16928750514654,79.67616073872236,2020-05-31
Regulatory retail portfolios,Loans,> 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank Finance Ltd,transaction_453332,273.1608088119271,207.95188845661295,2020-05-31
Sovereigns and their central banks,Debt securities,>1y,Wholesale Banking,0.25 to < 0.50,iBank filial,transaction_575367,546.8001554946338,177.36688830795424,2020-05-31
Non-central government public sector entities,Other investments,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,0.50 to < 0.75,iBank CIB,transaction_509619,574.8583890133432,72.52895217170676,2020-05-31
Multilateral development banks,Loans,2 years ≤ residual maturity < 5 years,Personal Banking,0.75 to < 2.50,iBank Finance Ltd,transaction_245359,416.35702447928,124.90760247299944,2020-05-31
Banks,Debt securities,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank filial,transaction_017404,211.28217317500375,203.91199469579516,2020-05-31
Securities firms,Other investments,> 10 years,Wholesale Banking,10.00 to < 100,iBank CIB,transaction_030735,684.9984303531616,415.02150982024006,2020-05-31
Corporates,Loans,>1y,Asset & Wealth Management,100 default,iBank Finance Ltd,transaction_170974,172.61857163537704,84.16402749068102,2020-05-31
Regulatory retail portfolios,Debt securities,1 year ≤ residual maturity < 2 years,Personal Banking,0.00 to < 0.15,iBank filial,transaction_763389,1533.036522976676,391.3410229565571,2020-05-31
Sovereigns and their central banks,Other investments,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,0.15 to < 0.25,iBank CIB,transaction_585216,859.1708015499341,551.0044297123417,2020-05-31
Non-central government public sector entities,Loans,5 years ≤ residual maturity < 10 years,Wholesale Banking,0.25 to < 0.50,iBank Finance Ltd,transaction_455703,534.9917970291111,289.9039010936053,2020-05-31
Multilateral development banks,Debt securities,> 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank filial,transaction_589477,1169.1470979113158,524.6103625644355,2020-05-31
Banks,Other investments,>1y,Personal Banking,0.75 to < 2.50,iBank CIB,transaction_993147,677.9284247001277,354.9254366634192,2020-05-31
Securities firms,Loans,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,2.50 to < 10.00,iBank Finance Ltd,transaction_808347,780.5429503979772,240.01786952166736,2020-05-31
Corporates,Debt securities,2 years ≤ residual maturity < 5 years,Wholesale Banking,10.00 to < 100,iBank filial,transaction_041083,544.5183768346111,255.34047627299884,2020-05-31
Regulatory retail portfolios,Other investments,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,100 default,iBank CIB,transaction_826636,984.1755776125887,104.79336108375327,2020-05-31
Sovereigns and their central banks,Loans,> 10 years,Personal Banking,0.00 to < 0.15,iBank Finance Ltd,transaction_110619,471.75537745443313,108.59764634244712,2020-05-31
Non-central government public sector entities,Debt securities,>1y,Commercial & Business Banking,0.15 to < 0.25,iBank filial,transaction_130801,712.4569030496234,247.86307055082486,2020-05-31
Multilateral development banks,Other investments,1 year ≤ residual maturity < 2 years,Wholesale Banking,0.25 to < 0.50,iBank CIB,transaction_169920,38.52618245108998,21.22530500373711,2020-05-31
Banks,Loans,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,0.50 to < 0.75,iBank Finance Ltd,transaction_529086,298.58158439030694,159.8195602099902,2020-05-31
Securities firms,Debt securities,5 years ≤ residual maturity < 10 years,Personal Banking,0.75 to < 2.50,iBank filial,transaction_813109,220.60144422024115,109.88816330373083,2020-05-31
Corporates,Other investments,> 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank CIB,transaction_644784,38.075843936621425,9.27410690190285,2020-05-31
Regulatory retail portfolios,Loans,>1y,Wholesale Banking,10.00 to < 100,iBank Finance Ltd,transaction_056514,1102.0354320711717,91.0600811718386,2020-05-31
Sovereigns and their central banks,Debt securities,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,100 default,iBank filial,transaction_385056,713.5501593508359,244.70574847945034,2020-05-31
Non-central government public sector entities,Other investments,2 years ≤ residual maturity < 5 years,Personal Banking,0.00 to < 0.15,iBank CIB,transaction_302158,552.0400621997704,134.48356207408602,2020-05-31
Multilateral development banks,Loans,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank Finance Ltd,transaction_001167,451.52371889305306,111.83356399190498,2020-05-31
Banks,Debt securities,> 10 years,Wholesale Banking,0.25 to < 0.50,iBank filial,transaction_874806,442.21309588711426,225.33273793354687,2020-05-31
Securities firms,Other investments,>1y,Asset & Wealth Management,0.50 to < 0.75,iBank CIB,transaction_472056,738.9360380372602,299.3253939730976,2020-05-31
Corporates,Loans,1 year ≤ residual maturity < 2 years,Personal Banking,0.75 to < 2.50,iBank Finance Ltd,transaction_952947,40.26180733075028,4.4493160407601104,2020-05-31
Regulatory retail portfolios,Debt securities,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,2.50 to < 10.00,iBank filial,transaction_223508,164.31262950961786,25.801940281676345,2020-05-31
Sovereigns and their central banks,Other investments,5 years ≤ residual maturity < 10 years,Wholesale Banking,10.00 to < 100,iBank CIB,transaction_127584,239.51860247843194,99.51037066716243,2020-05-31
Non-central government public sector entities,Loans,> 10 years,Asset & Wealth Management,100 default,iBank Finance Ltd,transaction_058890,735.5879287560028,573.1496458717601,2020-05-31
Multilateral development banks,Debt securities,>1y,Personal Banking,0.00 to < 0.15,iBank filial,transaction_389937,250.34692556902525,66.03967104197821,2020-05-31
Banks,Other investments,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,0.15 to < 0.25,iBank CIB,transaction_790873,242.51664729696788,181.0281160327205,2020-05-31
Securities firms,Loans,2 years ≤ residual maturity < 5 years,Wholesale Banking,0.25 to < 0.50,iBank Finance Ltd,transaction_169733,654.4312477270951,216.6380185493341,2020-05-31
Corporates,Debt securities,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank filial,transaction_729058,94.67042966594362,72.83119893471157,2020-05-31
Regulatory retail portfolios,Other investments,> 10 years,Personal Banking,0.75 to < 2.50,iBank CIB,transaction_793977,470.37301227700095,126.81335360394228,2020-05-31
Sovereigns and their central banks,Loans,>1y,Commercial & Business Banking,2.50 to < 10.00,iBank Finance Ltd,transaction_567343,954.4782772714315,265.8874885223241,2020-05-31
Non-central government public sector entities,Debt securities,1 year ≤ residual maturity < 2 years,Wholesale Banking,10.00 to < 100,iBank filial,transaction_132712,455.35957157218166,310.8202329163705,2020-05-31
Multilateral development banks,Other investments,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,100 default,iBank CIB,transaction_824588,100.66735615483992,28.671722464620746,2020-05-31
Banks,Loans,5 years ≤ residual maturity < 10 years,Personal Banking,0.00 to < 0.15,iBank Finance Ltd,transaction_882557,708.7901328445995,205.96880196237828,2020-05-31
Securities firms,Debt securities,> 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank filial,transaction_980035,796.700042826258,201.01949230611098,2020-05-31
Corporates,Other investments,>1y,Wholesale Banking,0.25 to < 0.50,iBank CIB,transaction_441614,895.3931010502602,374.0214180681746,2020-05-31
Regulatory retail portfolios,Loans,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,0.50 to < 0.75,iBank Finance Ltd,transaction_737015,202.6643364616062,60.86362729006337,2020-05-31
Sovereigns and their central banks,Debt securities,2 years ≤ residual maturity < 5 years,Personal Banking,0.75 to < 2.50,iBank filial,transaction_285151,560.4814910282188,131.65134329469132,2020-05-31
Non-central government public sector entities,Other investments,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank CIB,transaction_606091,155.7040661329613,109.9887030050656,2020-05-31
Multilateral development banks,Loans,> 10 years,Wholesale Banking,10.00 to < 100,iBank Finance Ltd,transaction_157109,247.90124440891168,197.29878902343467,2020-05-31
Banks,Debt securities,>1y,Asset & Wealth Management,100 default,iBank filial,transaction_747430,380.62937394283733,148.4315764913796,2020-05-31
Securities firms,Other investments,1 year ≤ residual maturity < 2 years,Personal Banking,0.00 to < 0.15,iBank CIB,transaction_229288,479.0521967180518,132.0837813550087,2020-05-31
Corporates,Loans,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,0.15 to < 0.25,iBank Finance Ltd,transaction_202019,243.685853827796,76.41300805209598,2020-05-31
Regulatory retail portfolios,Debt securities,5 years ≤ residual maturity < 10 years,Wholesale Banking,0.25 to < 0.50,iBank filial,transaction_657852,1051.0993876154077,244.48957804903398,2020-05-31
Sovereigns and their central banks,Other investments,> 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank CIB,transaction_237823,1105.7227622337894,447.3701208196498,2020-05-31
Non-central government public sector entities,Loans,>1y,Personal Banking,0.75 to < 2.50,iBank Finance Ltd,transaction_581982,559.7781243042908,372.3337806291946,2020-05-31
Multilateral development banks,Debt securities,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,2.50 to < 10.00,iBank filial,transaction_284429,892.3125891701341,283.3137211429118,2020-05-31
Banks,Other investments,2 years ≤ residual maturity < 5 years,Wholesale Banking,10.00 to < 100,iBank CIB,transaction_856679,478.2089060431041,571.6267206300815,2020-05-31
Securities firms,Loans,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,100 default,iBank Finance Ltd,transaction_639666,82.4315823112036,23.75533205109932,2020-05-31
Corporates,Debt securities,> 10 years,Personal Banking,0.00 to < 0.15,iBank filial,transaction_412391,201.43329926594106,168.042560596692,2020-05-31
Regulatory retail portfolios,Other investments,>1y,Commercial & Business Banking,0.15 to < 0.25,iBank CIB,transaction_012303,465.37447069893204,160.41987736881742,2020-05-31
Sovereigns and their central banks,Loans,1 year ≤ residual maturity < 2 years,Wholesale Banking,0.25 to < 0.50,iBank Finance Ltd,transaction_929438,56.85187962639624,31.55116474912735,2020-05-31
Non-central government public sector entities,Debt securities,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,0.50 to < 0.75,iBank filial,transaction_477305,186.10415859943657,81.93875243051282,2020-05-31
Multilateral development banks,Other investments,5 years ≤ residual maturity < 10 years,Personal Banking,0.75 to < 2.50,iBank CIB,transaction_682100,1006.7729662432812,583.0163826266214,2020-05-31
Banks,Loans,> 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank Finance Ltd,transaction_783378,1122.0939956445263,155.8573368175734,2020-05-31
Securities firms,Debt securities,>1y,Wholesale Banking,10.00 to < 100,iBank filial,transaction_787783,4.365825837146261,0.9295942653099308,2020-05-31
Corporates,Other investments,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,100 default,iBank CIB,transaction_076209,893.2640999053496,310.8570438229189,2020-05-31
Regulatory retail portfolios,Loans,2 years ≤ residual maturity < 5 years,Personal Banking,0.00 to < 0.15,iBank Finance Ltd,transaction_305710,724.6358299578965,315.3125516536583,2020-05-31
Sovereigns and their central banks,Debt securities,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank filial,transaction_619553,156.84064973024783,99.00467415915008,2020-05-31
Non-central government public sector entities,Other investments,> 10 years,Wholesale Banking,0.25 to < 0.50,iBank CIB,transaction_926691,7.581772808671438,1.3175563137553443,2020-05-31
Multilateral development banks,Loans,>1y,Asset & Wealth Management,0.50 to < 0.75,iBank Finance Ltd,transaction_545604,754.0072250485722,196.89750934398637,2020-05-31
Banks,Debt securities,1 year ≤ residual maturity < 2 years,Personal Banking,0.75 to < 2.50,iBank filial,transaction_923475,957.5451160227159,185.8584027498935,2020-05-31
Securities firms,Other investments,2 years ≤ residual maturity < 5 years,Commercial & Business Banking,2.50 to < 10.00,iBank CIB,transaction_555193,756.0084729981309,263.4781979947158,2020-05-31
Corporates,Loans,5 years ≤ residual maturity < 10 years,Wholesale Banking,10.00 to < 100,iBank Finance Ltd,transaction_130819,661.9656367066249,324.26045608576266,2020-05-31
Regulatory retail portfolios,Debt securities,> 10 years,Asset & Wealth Management,100 default,iBank filial,transaction_122465,1018.8298981214293,301.4154385851027,2020-05-31
Sovereigns and their central banks,Other investments,>1y,Personal Banking,0.00 to < 0.15,iBank CIB,transaction_228386,179.00795838327426,61.179983284935496,2020-05-31
Non-central government public sector entities,Loans,1 year ≤ residual maturity < 2 years,Commercial & Business Banking,0.15 to < 0.25,iBank Finance Ltd,transaction_389083,88.76223541468973,62.08145570608077,2020-05-31
Multilateral development banks,Debt securities,2 years ≤ residual maturity < 5 years,Wholesale Banking,0.25 to < 0.50,iBank filial,transaction_572959,373.8553015896025,223.8892544418381,2020-05-31
Banks,Other investments,5 years ≤ residual maturity < 10 years,Asset & Wealth Management,0.50 to < 0.75,iBank CIB,transaction_415418,263.89950929485497,155.97141792884125,2020-05-31
Securities firms,Loans,> 10 years,Personal Banking,0.75 to < 2.50,iBank Finance Ltd,transaction_167989,126.66253918182689,103.70357650561674,2020-05-31
Corporates,Debt securities,>1y,Commercial & Business Banking,2.50 to < 10.00,iBank filial,transaction_559401,376.92692840593065,109.82754742115304,2020-05-31
Regulatory retail portfolios,Other investments,1 year ≤ residual maturity < 2 years,Wholesale Banking,10.00 to < 100,iBank CIB,transaction_253466,22.89984380980305,13.665463287363245,2020-05-31
Sovereigns and their central banks,Loans,2 years ≤ residual maturity < 5 years,Asset & Wealth Management,100 default,iBank Finance Ltd,transaction_293840,799.190333298984,310.3321022856691,2020-05-31
Non-central government public sector entities,Debt securities,5 years ≤ residual maturity < 10 years,Personal Banking,0.00 to < 0.15,iBank filial,transaction_981347,178.63022432814356,99.69391546323645,2020-05-31
Multilateral development banks,Other investments,> 10 years,Commercial & Business Banking,0.15 to < 0.25,iBank CIB,transaction_011535,216.89073229734527,124.4621512777509,2020-05-31
Banks,Loans,>1y,Wholesale Banking,0.25 to < 0.50,iBank Finance Ltd,transaction_210661,568.8352025767964,119.10565931758826,2020-05-31
Securities firms,Debt securities,1 year ≤ residual maturity < 2 years,Asset & Wealth Management,0.50 to < 0.75,iBank filial,transaction_405706,105.3024586021649,55.03103382788776,2020-05-31
Corporates,Other investments,2 years ≤ residual maturity < 5 years,Personal Banking,0.75 to < 2.50,iBank CIB,transaction_940379,514.4853347956235,146.1295648018654,2020-05-31
Regulatory retail portfolios,Loans,5 years ≤ residual maturity < 10 years,Commercial & Business Banking,2.50 to < 10.00,iBank Finance Ltd,transaction_298107,530.3942890407804,433.79618787424937,2020-05-31
Sovereigns and their central banks,Debt securities,> 10 years,Wholesale Banking,10.00 to < 100,iBank filial,transaction_854983,1035.362695557548,422.93399008555843,2020-05-31
Non-central government public sector entities,Other investments,>1y,Asset & Wealth Management,100 default,iBank CIB,transaction_584753,310.86203104285664,84.71334212165611,2020-05-31
